#time,nodeid,segNum,lastChunkSize,lastChunkStartTime,lastChunkFinishTime,bufferUpto,totalRebuffer,lastQuality,currentRebuffer
+2151985713.0ns,22,0,130550,1.39974,2.15199,4,0,0,0
+2982360712.0ns,22,1,349519,2.15199,2.98236,7.16963,0,0,0
+3785932140.0ns,22,2,299613,2.98236,3.78593,10.3661,0,0,0
+4563735713.0ns,22,3,220993,3.78593,4.56374,13.5883,0,0,0
+5341985713.0ns,22,4,219634,4.56374,5.34199,16.81,0,0,0
+6069146426.0ns,22,5,81114,5.34199,6.06915,20.0828,0,0,0
+6822932140.0ns,22,6,139234,6.06915,6.82293,23.3291,0,0,0
+7627485713.0ns,22,7,308066,6.82293,7.62749,26.5245,0,0,0
+8431342855.0ns,22,8,234912,7.62749,8.43134,29.7206,0,0,0
+9209735713.0ns,22,9,210170,8.43134,9.20974,32.9423,0,0,0
+12931485713.0ns,22,10,177609,12.152,12.9315,33.2205,0,0,0
+16929735713.0ns,22,11,155318,16.152,16.9297,33.2223,0,0,0
+20929235713.0ns,22,12,158447,20.152,20.9292,33.2227,0,0,0
+24955860712.0ns,22,13,256551,24.152,24.9559,33.1961,0,0,0
+28930003570.0ns,22,14,151129,28.152,28.93,33.222,0,0,0
+32879735713.0ns,22,15,78576,32.152,32.8797,33.2722,0,0,0
+36879985713.0ns,22,16,98400,36.152,36.88,33.272,0,0,0
+40930235713.0ns,22,17,214461,40.152,40.9302,33.2218,0,0,0
+44929753570.0ns,22,18,166743,44.152,44.9298,33.2222,0,0,0
+48955271427.0ns,22,19,228465,48.152,48.9553,33.1967,0,0,0
+52983235713.0ns,22,20,417897,52.152,52.9832,33.1688,0,0,0
+56930985713.0ns,22,21,202940,56.152,56.931,33.221,0,0,0
+60854646426.0ns,22,22,65400,60.152,60.8546,33.2973,0,0,0
+64904235713.0ns,22,23,112487,64.152,64.9042,33.2478,0,0,0
+68878985713.0ns,22,24,73380,68.152,68.879,33.273,0,0,0
