#time,nodeid,segNum,lastChunkSize,lastChunkStartTime,lastChunkFinishTime,bufferUpto,totalRebuffer,lastQuality,currentRebuffer
+2148985713.0ns,22,0,130550,1.39974,2.14899,4,0,0,0
+2974735713.0ns,22,1,349519,2.14899,2.97474,7.17425,0,0,0
+3778735713.0ns,22,2,299613,2.97474,3.77874,10.3703,0,0,0
+4559235713.0ns,22,3,220993,3.77874,4.55924,13.5898,0,0,0
+5337485713.0ns,22,4,219634,4.55924,5.33749,16.8115,0,0,0
+6062235713.0ns,22,5,81114,5.33749,6.06224,20.0867,0,0,0
+6811485713.0ns,22,6,139234,6.06224,6.81149,23.3375,0,0,0
+7611235713.0ns,22,7,308066,6.81149,7.61124,26.5377,0,0,0
+8410235713.0ns,22,8,234912,7.61124,8.41024,29.7387,0,0,0
+9184735713.0ns,22,9,210170,8.41024,9.18474,32.9642,0,0,0
+12923485713.0ns,22,10,177609,12.149,12.9235,33.2255,0,0,0
+16923735713.0ns,22,11,155318,16.149,16.9237,33.2253,0,0,0
+20923235713.0ns,22,12,158447,20.149,20.9232,33.2257,0,0,0
+24948485713.0ns,22,13,256551,24.149,24.9485,33.2005,0,0,0
+28922985713.0ns,22,14,151129,28.149,28.923,33.226,0,0,0
+32873235713.0ns,22,15,78576,32.149,32.8732,33.2758,0,0,0
+36873485713.0ns,22,16,98400,36.149,36.8735,33.2755,0,0,0
+40923753570.0ns,22,17,214461,40.149,40.9238,33.2252,0,0,0
+44924253570.0ns,22,18,166743,44.149,44.9243,33.2247,0,0,0
+48948003570.0ns,22,19,228465,48.149,48.948,33.201,0,0,0
+52979735713.0ns,22,20,417897,52.149,52.9797,33.1692,0,0,0
+56924985713.0ns,22,21,202940,56.149,56.925,33.224,0,0,0
+60850235713.0ns,22,22,65400,60.149,60.8502,33.2987,0,0,0
+64898735713.0ns,22,23,112487,64.149,64.8987,33.2503,0,0,0
+68873235713.0ns,22,24,73380,68.149,68.8732,33.2758,0,0,0
