#time,nodeid,segNum,lastChunkSize,lastChunkStartTime,lastChunkFinishTime,bufferUpto,totalRebuffer,lastQuality,currentRebuffer
+2151485713.0ns,22,0,130550,1.39974,2.15149,4,0,0,0
+4198735713.0ns,22,1,6667126,2.15149,4.19874,5.95275,0,5,0
+5585324998.0ns,22,2,3211901,4.19874,5.58532,8.56616,0,5,0
+6646985713.0ns,22,3,1639262,5.58532,6.64699,11.5045,0,5,0
+7707735713.0ns,22,4,1551364,6.64699,7.70774,14.4437,0,5,0
+8564485713.0ns,22,5,581276,7.70774,8.56449,17.587,0,5,0
+9521735713.0ns,22,6,1077210,8.56449,9.52174,20.6298,0,5,0
+10831985713.0ns,22,7,2947651,9.52174,10.832,23.3195,0,5,0
+12021485713.0ns,22,8,2231954,10.832,12.0215,26.13,0,5,0
+13156985713.0ns,22,9,1973821,12.0215,13.157,28.9945,0,5,0
+14113003570.0ns,22,10,1110053,13.157,14.113,32.0385,0,5,0
+17130235713.0ns,22,11,1131566,16.1515,17.1302,33.0213,0,5,0
+21179485713.0ns,22,12,1411867,20.1515,21.1795,32.972,0,5,0
+25357985713.0ns,22,13,2342758,24.1515,25.358,32.7935,0,5,0
+29259485713.0ns,22,14,1849212,28.1515,29.2595,32.892,0,5,0
+33031271427.0ns,22,15,624663,32.1515,33.0313,33.1202,0,5,0
+37083985713.0ns,22,16,869686,36.1515,37.084,33.0675,0,5,0
+41286985713.0ns,22,17,1991788,40.1515,41.287,32.8645,0,5,0
+45207735713.0ns,22,18,1529997,44.1515,45.2077,32.9438,0,5,0
+49313289284.0ns,22,19,2096269,48.1515,49.3133,32.8382,0,5,0
+53742485713.0ns,22,20,4306089,52.1515,53.7425,32.409,0,5,0
+57290342855.0ns,22,21,1944846,56.1515,57.2903,32.8611,0,5,0
+61007735713.0ns,22,22,572542,60.1515,61.0077,33.1437,0,5,0
+65188735713.0ns,22,23,1479681,64.1515,65.1887,32.9627,0,5,0
+69028985713.0ns,22,24,606006,68.1515,69.029,33.1225,0,5,0
