#time,nodeid,segNum,lastChunkSize,lastChunkStartTime,lastChunkFinishTime,bufferUpto,totalRebuffer,lastQuality,currentRebuffer
+2158057141.0ns,22,0,130550,1.4005,2.15806,4,0,0,0
+2988521427.0ns,22,1,349519,2.15806,2.98852,7.16954,0,0,0
+3796057141.0ns,22,2,299613,2.98852,3.79606,10.362,0,0,0
+4601485713.0ns,22,3,220993,3.79606,4.60149,13.5566,0,0,0
+5381235713.0ns,22,4,219634,4.60149,5.38124,16.7768,0,0,0
+6110735713.0ns,22,5,81114,5.38124,6.11074,20.0473,0,0,0
+6863253570.0ns,22,6,139234,6.11074,6.86325,23.2948,0,0,0
+7667985713.0ns,22,7,308066,6.86325,7.66799,26.4901,0,0,0
+8467735713.0ns,22,8,234912,7.66799,8.46774,29.6903,0,0,0
+9246485713.0ns,22,9,210170,8.46774,9.24649,32.9116,0,0,0
+12935985713.0ns,22,10,177609,12.1581,12.936,33.2221,0,0,0
+16933235713.0ns,22,11,155318,16.1581,16.9332,33.2248,0,0,0
+20936592855.0ns,22,12,158447,20.1581,20.9366,33.2215,0,0,0
+24965164283.0ns,22,13,256551,24.1581,24.9652,33.1929,0,0,0
+28937289284.0ns,22,14,151129,28.1581,28.9373,33.2208,0,0,0
+32886985713.0ns,22,15,78576,32.1581,32.887,33.2711,0,0,0
+36886485713.0ns,22,16,98400,36.1581,36.8865,33.2716,0,0,0
+40943342855.0ns,22,17,214461,40.1581,40.9433,33.2147,0,0,0
+44935735713.0ns,22,18,166743,44.1581,44.9357,33.2223,0,0,0
+48961807141.0ns,22,19,228465,48.1581,48.9618,33.1962,0,0,0
+52988057141.0ns,22,20,417897,52.1581,52.9881,33.17,0,0,0
+56941307141.0ns,22,21,202940,56.1581,56.9413,33.2167,0,0,0
+60862485713.0ns,22,22,65400,60.1581,60.8625,33.2956,0,0,0
+64914324998.0ns,22,23,112487,64.1581,64.9143,33.2437,0,0,0
+68883771427.0ns,22,24,73380,68.1581,68.8838,33.2743,0,0,0
