#time,nodeid,segNum,lastChunkSize,lastChunkStartTime,lastChunkFinishTime,bufferUpto,totalRebuffer,lastQuality,currentRebuffer
+2152985713.0ns,22,0,130550,1.40074,2.15299,4,0,0,0
+2977985713.0ns,22,1,349519,2.15299,2.97799,7.175,0,0,0
+3857485713.0ns,22,2,718790,2.97799,3.85749,10.2955,0,2,0
+4808485713.0ns,22,3,1071812,3.85749,4.80849,13.3445,0,4,0
+5859985713.0ns,22,4,1551364,4.80849,5.85999,16.293,0,5,0
+6714485713.0ns,22,5,581276,5.85999,6.71449,19.4385,0,5,0
+7667235713.0ns,22,6,1077210,6.71449,7.66724,22.4857,0,5,0
+8973485713.0ns,22,7,2947651,7.66724,8.97349,25.1795,0,5,0
+10154235713.0ns,22,8,2231954,8.97349,10.1542,27.9988,0,5,0
+11285432140.0ns,22,9,1973821,10.1542,11.2854,30.8676,0,5,0
+13104753570.0ns,22,10,1110053,12.153,13.1048,33.0482,0,5,0
+17130735713.0ns,22,11,1131566,16.153,17.1307,33.0222,0,5,0
+21179735713.0ns,22,12,1411867,20.153,21.1797,32.9733,0,5,0
+25356485713.0ns,22,13,2342758,24.153,25.3565,32.7965,0,5,0
+29257235713.0ns,22,14,1849212,28.153,29.2572,32.8957,0,5,0
+33029003570.0ns,22,15,624663,32.153,33.029,33.124,0,5,0
+37078485713.0ns,22,16,869686,36.153,37.0785,33.0745,0,5,0
+41281485713.0ns,22,17,1991788,40.153,41.2815,32.8715,0,5,0
+45207985713.0ns,22,18,1529997,44.153,45.208,32.945,0,5,0
+49308235713.0ns,22,19,2096269,48.153,49.3082,32.8447,0,5,0
+53735485713.0ns,22,20,4306089,52.153,53.7355,32.4175,0,5,0
+57280735713.0ns,22,21,1944846,56.153,57.2807,32.8723,0,5,0
+61003735713.0ns,22,22,572542,60.153,61.0037,33.1493,0,5,0
+65186753570.0ns,22,23,1479681,64.153,65.1868,32.9662,0,5,0
+69029735713.0ns,22,24,606006,68.153,69.0297,33.1232,0,5,0
