#time,nodeid,segNum,lastChunkSize,lastChunkStartTime,lastChunkFinishTime,bufferUpto,totalRebuffer,lastQuality,currentRebuffer
+2162021427.0ns,22,0,130550,1.40065,2.16202,4,0,0,0
+3002592855.0ns,22,1,349519,2.16202,3.00259,7.15943,0,0,0
+3953860712.0ns,22,2,718790,3.00259,3.95386,10.2082,0,2,0
+5011628569.0ns,22,3,1071812,3.95386,5.01163,13.1504,0,4,0
+6213807141.0ns,22,4,1551364,5.01163,6.21381,15.9482,0,5,0
+7123878569.0ns,22,5,581276,6.21381,7.12388,19.0381,0,5,0
+8183557141.0ns,22,6,1077210,7.12388,8.18356,21.9785,0,5,0
+9805253570.0ns,22,7,2947651,8.18356,9.80525,24.3568,0,5,0
+11212182140.0ns,22,8,2231954,9.80525,11.2122,26.9498,0,5,0
+12541128569.0ns,22,9,1973821,11.2122,12.5411,29.6209,0,5,0
+13610628569.0ns,22,10,1110053,12.5411,13.6106,32.5514,0,5,0
+17238235713.0ns,22,11,1131566,16.162,17.2382,32.9238,0,5,0
+21322342855.0ns,22,12,1411867,20.162,21.3223,32.8397,0,5,0
+25602235713.0ns,22,13,2342758,24.162,25.6022,32.5598,0,5,0
+29453664283.0ns,22,14,1849212,28.162,29.4537,32.7084,0,5,0
+33085307141.0ns,22,15,624663,32.162,33.0853,33.0767,0,5,0
+37159253570.0ns,22,16,869686,36.162,37.1593,33.0028,0,5,0
+41496378569.0ns,22,17,1991788,40.162,41.4964,32.6656,0,5,0
+45358289284.0ns,22,18,1529997,44.162,45.3583,32.8037,0,5,0
+49528110712.0ns,22,19,2096269,48.162,49.5281,32.6339,0,5,0
+54192396426.0ns,22,20,4306089,52.162,54.1924,31.9696,0,5,0
+57482360712.0ns,22,21,1944846,56.162,57.4824,32.6797,0,5,0
+61069789284.0ns,22,22,572542,60.162,61.0698,33.0922,0,5,0
+65342664283.0ns,22,23,1479681,64.162,65.3427,32.8194,0,5,0
+69079824998.0ns,22,24,606006,68.162,69.0798,33.0822,0,5,0
