Time,Old_state,New_state
33482141,IDLE,TX
33499997,TX,IDLE
33732141,IDLE,TX
33749997,TX,IDLE
33982141,IDLE,TX
33999997,TX,IDLE
34232141,IDLE,TX
34249997,TX,IDLE
34482141,IDLE,TX
34499997,TX,IDLE
34732141,IDLE,TX
34749997,TX,IDLE
34982141,IDLE,TX
34999997,TX,IDLE
35232141,IDLE,TX
35249997,TX,IDLE
35482141,IDLE,TX
35499997,TX,IDLE
35732141,IDLE,TX
35749997,TX,IDLE
35982141,IDLE,TX
35999997,TX,IDLE
36232141,IDLE,TX
36249997,TX,IDLE
36482141,IDLE,TX
36499997,TX,IDLE
36732141,IDLE,TX
36749997,TX,IDLE
36982141,IDLE,TX
36999997,TX,IDLE
37232141,IDLE,TX
37249997,TX,IDLE
37482141,IDLE,TX
37499997,TX,IDLE
37732141,IDLE,TX
37749997,TX,IDLE
37982141,IDLE,TX
37999997,TX,IDLE
38232141,IDLE,TX
38249997,TX,IDLE
38482141,IDLE,TX
38499997,TX,IDLE
38732141,IDLE,TX
38749997,TX,IDLE
38982141,IDLE,TX
38999997,TX,IDLE
39232141,IDLE,TX
39249997,TX,IDLE
39482141,IDLE,TX
39499997,TX,IDLE
39732141,IDLE,TX
39749997,TX,IDLE
39982141,IDLE,TX
39999997,TX,IDLE
40232141,IDLE,TX
40249997,TX,IDLE
40482141,IDLE,TX
40499997,TX,IDLE
40732141,IDLE,TX
40749997,TX,IDLE
40982141,IDLE,TX
40999997,TX,IDLE
41232141,IDLE,TX
41249997,TX,IDLE
41482141,IDLE,TX
41499997,TX,IDLE
41732141,IDLE,TX
41749997,TX,IDLE
41982141,IDLE,TX
41999997,TX,IDLE
42232141,IDLE,TX
42249997,TX,IDLE
42482141,IDLE,TX
42499997,TX,IDLE
42732141,IDLE,TX
42749997,TX,IDLE
42982141,IDLE,TX
42999997,TX,IDLE
43000000,IDLE,RX_CTRL
43017856,RX_CTRL,IDLE
43232141,IDLE,TX
43249997,TX,IDLE
43250000,IDLE,RX_CTRL
43267856,RX_CTRL,IDLE
43482141,IDLE,TX
43499997,TX,IDLE
43500000,IDLE,RX_CTRL
43517856,RX_CTRL,IDLE
43732141,IDLE,TX
43749997,TX,IDLE
43750000,IDLE,RX_CTRL
43767856,RX_CTRL,IDLE
43982141,IDLE,TX
43999997,TX,IDLE
44000000,IDLE,RX_CTRL
44017856,RX_CTRL,IDLE
44232141,IDLE,TX
44249997,TX,IDLE
44250000,IDLE,RX_CTRL
44267856,RX_CTRL,IDLE
44482141,IDLE,TX
44499997,TX,IDLE
44500000,IDLE,RX_CTRL
44517856,RX_CTRL,IDLE
44732141,IDLE,TX
44749997,TX,IDLE
44750000,IDLE,RX_CTRL
44767856,RX_CTRL,IDLE
44982141,IDLE,TX
44999997,TX,IDLE
45000000,IDLE,RX_CTRL
45017856,RX_CTRL,IDLE
45232141,IDLE,TX
45249997,TX,IDLE
45250000,IDLE,RX_CTRL
45267856,RX_CTRL,IDLE
45482141,IDLE,TX
45499997,TX,IDLE
45500000,IDLE,RX_CTRL
45517856,RX_CTRL,IDLE
45732141,IDLE,TX
45749997,TX,IDLE
45750000,IDLE,RX_CTRL
45767856,RX_CTRL,IDLE
45982141,IDLE,TX
45999997,TX,IDLE
46000000,IDLE,RX_CTRL
