#time,nodeid,segNum,lastChunkSize,lastChunkStartTime,lastChunkFinishTime,bufferUpto,totalRebuffer,lastQuality,currentRebuffer
+10278999999.0ns,16,0,480837,1.40065,10.279,16,0,0,0
+11355271427.0ns,16,1,521374,10.279,11.3553,30.9237,0,0,0
+13107753570.0ns,16,2,301516,12.279,13.1078,45.1712,0,0,0
+29319999999.0ns,16,3,448068,28.279,29.32,44.959,0,0,0
+45146557141.0ns,16,4,445850,44.279,45.1466,45.1324,0,0,0
+61142057141.0ns,16,5,333695,60.279,61.1421,45.1369,0,0,0
+77316999999.0ns,16,6,415766,76.279,77.317,44.962,0,0,0
