#time,nodeid,segNum,lastChunkSize,lastChunkStartTime,lastChunkFinishTime,bufferUpto,totalRebuffer,lastQuality,currentRebuffer
+2150485713.0ns,22,0,130550,1.39974,2.15049,4,0,0,0
+2978735713.0ns,22,1,349519,2.15049,2.97874,7.17175,0,0,0
+3780485713.0ns,22,2,299613,2.97874,3.78049,10.37,0,0,0
+4558485713.0ns,22,3,220993,3.78049,4.55849,13.592,0,0,0
+5335985713.0ns,22,4,219634,4.55849,5.33599,16.8145,0,0,0
+6059485713.0ns,22,5,81114,5.33599,6.05949,20.091,0,0,0
+6808735713.0ns,22,6,139234,6.05949,6.80874,23.3418,0,0,0
+7608485713.0ns,22,7,308066,6.80874,7.60849,26.542,0,0,0
+8409235713.0ns,22,8,234912,7.60849,8.40924,29.7413,0,0,0
+9183735713.0ns,22,9,210170,8.40924,9.18374,32.9667,0,0,0
+12925985713.0ns,22,10,177609,12.1505,12.926,33.2245,0,0,0
+16927985713.0ns,22,11,155318,16.1505,16.928,33.2225,0,0,0
+20925485713.0ns,22,12,158447,20.1505,20.9255,33.225,0,0,0
+24953235713.0ns,22,13,256551,24.1505,24.9532,33.1972,0,0,0
+28928985713.0ns,22,14,151129,28.1505,28.929,33.2215,0,0,0
+32877735713.0ns,22,15,78576,32.1505,32.8777,33.2728,0,0,0
+36876235713.0ns,22,16,98400,36.1505,36.8762,33.2743,0,0,0
+40928485713.0ns,22,17,214461,40.1505,40.9285,33.222,0,0,0
+44926253570.0ns,22,18,166743,44.1505,44.9263,33.2242,0,0,0
+48951021427.0ns,22,19,228465,48.1505,48.951,33.1995,0,0,0
+52980235713.0ns,22,20,417897,52.1505,52.9802,33.1703,0,0,0
+56927735713.0ns,22,21,202940,56.1505,56.9277,33.2227,0,0,0
+60852235713.0ns,22,22,65400,60.1505,60.8522,33.2983,0,0,0
+64899735713.0ns,22,23,112487,64.1505,64.8997,33.2507,0,0,0
+68876235713.0ns,22,24,73380,68.1505,68.8762,33.2743,0,0,0
