+2519999999.0ns,22,1,521374,1.448,2.52,8,2.52,0,2.52
+3513999999.0ns,22,2,301516,2.52,3.514,15.006,2.52,0,0
+4547999999.0ns,22,3,448068,3.514,4.548,21.972,2.52,0,0
+5581999999.0ns,22,4,445850,4.548,5.582,28.938,2.52,0,0
+6578999999.0ns,22,5,333695,5.582,6.579,35.941,2.52,0,0
+13557999999.0ns,22,6,415766,12.52,13.558,36.962,2.52,0,0
+21511999999.0ns,22,7,230473,20.52,21.512,37.008,2.52,0,0
