#time,nodeid,segNum,lastChunkSize,lastChunkStartTime,lastChunkFinishTime,bufferUpto,totalRebuffer,lastQuality,currentRebuffer
+2152485713.0ns,22,0,130550,1.39974,2.15249,4,0,0,0
+2977485713.0ns,22,1,349519,2.15249,2.97749,7.175,0,0,0
+3777235713.0ns,22,2,299613,2.97749,3.77724,10.3752,0,0,0
+4551485713.0ns,22,3,220993,3.77724,4.55149,13.601,0,0,0
+5325735713.0ns,22,4,219634,4.55149,5.32574,16.8268,0,0,0
+6049235713.0ns,22,5,81114,5.32574,6.04924,20.1032,0,0,0
+6798485713.0ns,22,6,139234,6.04924,6.79849,23.354,0,0,0
+7598235713.0ns,22,7,308066,6.79849,7.59824,26.5542,0,0,0
+8397235713.0ns,22,8,234912,7.59824,8.39724,29.7553,0,0,0
+9176253570.0ns,22,9,210170,8.39724,9.17625,32.9762,0,0,0
+12926985713.0ns,22,10,177609,12.1525,12.927,33.2255,0,0,0
+16928735713.0ns,22,11,155318,16.1525,16.9287,33.2238,0,0,0
+20927235713.0ns,22,12,158447,20.1525,20.9272,33.2253,0,0,0
+24953485713.0ns,22,13,256551,24.1525,24.9535,33.199,0,0,0
+28926485713.0ns,22,14,151129,28.1525,28.9265,33.226,0,0,0
+32876735713.0ns,22,15,78576,32.1525,32.8767,33.2758,0,0,0
+36878485713.0ns,22,16,98400,36.1525,36.8785,33.274,0,0,0
+40927253570.0ns,22,17,214461,40.1525,40.9273,33.2252,0,0,0
+44930003570.0ns,22,18,166743,44.1525,44.93,33.2225,0,0,0
+48951503570.0ns,22,19,228465,48.1525,48.9515,33.201,0,0,0
+52979985713.0ns,22,20,417897,52.1525,52.98,33.1725,0,0,0
+56928985713.0ns,22,21,202940,56.1525,56.929,33.2235,0,0,0
+60855235713.0ns,22,22,65400,60.1525,60.8552,33.2972,0,0,0
+64903485713.0ns,22,23,112487,64.1525,64.9035,33.249,0,0,0
+68881485713.0ns,22,24,73380,68.1525,68.8815,33.271,0,0,0
