#time,nodeid,segNum,lastChunkSize,lastChunkStartTime,lastChunkFinishTime,bufferUpto,totalRebuffer,lastQuality,currentRebuffer
+2985999999.0ns,14,0,480837,1.455,2.986,16,0,0,0
+6561999999.0ns,14,1,1773986,2.986,6.562,28.424,0,3,0
+10704999999.0ns,14,2,2133408,6.562,10.705,40.281,0,5,0
+28132999999.0ns,14,3,4025629,20.986,28.133,38.853,0,5,0
+44420999999.0ns,14,4,4206543,36.986,44.421,38.565,0,5,0
+57315999999.0ns,14,5,2242387,52.986,57.316,41.67,0,5,0
+75700999999.0ns,14,6,3755393,68.986,75.701,39.285,0,5,0
