#time,nodeid,segNum,lastChunkSize,lastChunkStartTime,lastChunkFinishTime,bufferUpto,totalRebuffer,lastQuality,currentRebuffer
+2983999999.0ns,12,0,480837,1.453,2.984,16,0,0,0
+6559999999.0ns,12,1,1773986,2.984,6.56,28.424,0,3,0
+10702999999.0ns,12,2,2133408,6.56,10.703,40.281,0,5,0
+28130999999.0ns,12,3,4025629,20.984,28.131,38.853,0,5,0
+44418999999.0ns,12,4,4206543,36.984,44.419,38.565,0,5,0
+57313999999.0ns,12,5,2242387,52.984,57.314,41.67,0,5,0
+75698999999.0ns,12,6,3755393,68.984,75.699,39.285,0,5,0
