#time,nodeid,segNum,lastChunkSize,lastChunkStartTime,lastChunkFinishTime,bufferUpto,totalRebuffer,lastQuality,currentRebuffer
+2252753570.0ns,18,0,480837,1.39974,2.25275,16,0,0,0
+3105771427.0ns,18,1,521374,2.25275,3.10577,31.147,0,0,0
+5080235713.0ns,18,2,301516,4.25275,5.08024,45.1725,0,0,0
+21083985713.0ns,18,3,448068,20.2528,21.084,45.1688,0,0,0
+37088235713.0ns,18,4,445850,36.2528,37.0882,45.1645,0,0,0
+53058485713.0ns,18,5,333695,52.2528,53.0585,45.1943,0,0,0
+69081235713.0ns,18,6,415766,68.2528,69.0812,45.1715,0,0,0
