#time,nodeid,segNum,lastChunkSize,lastChunkStartTime,lastChunkFinishTime,bufferUpto,totalRebuffer,lastQuality,currentRebuffer
+2804999999.0ns,12,0,480837,1.452,2.805,16,0,0,0
+4154999999.0ns,12,1,521374,2.805,4.155,30.65,0,0,0
+5914999999.0ns,12,2,301516,4.805,5.915,44.89,0,0,0
+22091999999.0ns,12,3,448068,20.805,22.092,44.713,0,0,0
+38092999999.0ns,12,4,445850,36.805,38.093,44.712,0,0,0
+53959999999.0ns,12,5,333695,52.805,53.96,44.845,0,0,0
+69933999999.0ns,12,6,415766,68.805,69.934,44.871,0,0,0
