#time,nodeid,segNum,lastChunkSize,lastChunkStartTime,lastChunkFinishTime,bufferUpto,totalRebuffer,lastQuality,currentRebuffer
+2230408319.0ns,22,1,521374,1.39637,2.23041,8,2.23041,0,2.23041
+3016208319.0ns,22,2,301516,2.23041,3.01621,15.2142,2.23041,0,0
+3946708319.0ns,22,3,1103456,3.01621,3.94671,22.2837,2.23041,2,0
+5455508319.0ns,22,4,4206543,3.94671,5.45551,28.7749,2.23041,5,0
+6602808319.0ns,22,5,2242387,5.45551,6.60281,35.6276,2.23041,5,0
+13666908319.0ns,22,6,3755393,12.2304,13.6669,36.5635,2.23041,5,0
+21426508319.0ns,22,7,2474643,20.2304,21.4265,36.8039,2.23041,5,0
