#time,nodeid,segNum,lastChunkSize,lastChunkStartTime,lastChunkFinishTime,bufferUpto,totalRebuffer,lastQuality,currentRebuffer
+2255092855.0ns,10,0,480837,1.40057,2.25509,16,0,0,0
+3359789284.0ns,10,1,1773986,2.25509,3.35979,30.8953,0,3,0
+5428057141.0ns,10,2,2133408,4.25509,5.42806,44.827,0,5,0
+21795182140.0ns,10,3,4025629,20.2551,21.7952,44.4599,0,5,0
+37829503570.0ns,10,4,4206543,36.2551,37.8295,44.4256,0,5,0
+53449378569.0ns,10,5,2242387,52.2551,53.4494,44.8057,0,5,0
+69743003570.0ns,10,6,3755393,68.2551,69.743,44.5121,0,5,0
