#time,nodeid,segNum,lastChunkSize,lastChunkStartTime,lastChunkFinishTime,bufferUpto,totalRebuffer,lastQuality,currentRebuffer
+2157110712.0ns,22,0,130550,1.40004,2.15711,4,0,0,0
+2986860712.0ns,22,1,349519,2.15711,2.98686,7.17025,0,0,0
+3851146426.0ns,22,2,299613,2.98686,3.85115,10.306,0,0,0
+4633253570.0ns,22,3,220993,3.85115,4.63325,13.5239,0,0,0
+5417271427.0ns,22,4,219634,4.63325,5.41727,16.7398,0,0,0
+6145557141.0ns,22,5,81114,5.41727,6.14556,20.0116,0,0,0
+6899771427.0ns,22,6,139234,6.14556,6.89977,23.2573,0,0,0
+7706235713.0ns,22,7,308066,6.89977,7.70624,26.4509,0,0,0
+8507753570.0ns,22,8,234912,7.70624,8.50775,29.6494,0,0,0
+9290378569.0ns,22,9,210170,8.50775,9.29038,32.8667,0,0,0
+12938628569.0ns,22,10,177609,12.1571,12.9386,33.2185,0,0,0
+16933557141.0ns,22,11,155318,16.1571,16.9336,33.2236,0,0,0
+20933235713.0ns,22,12,158447,20.1571,20.9332,33.2239,0,0,0
+24958485713.0ns,22,13,256551,24.1571,24.9585,33.1986,0,0,0
+28934771427.0ns,22,14,151129,28.1571,28.9348,33.2223,0,0,0
+32887235713.0ns,22,15,78576,32.1571,32.8872,33.2699,0,0,0
+36884985713.0ns,22,16,98400,36.1571,36.885,33.2721,0,0,0
+40938307141.0ns,22,17,214461,40.1571,40.9383,33.2188,0,0,0
+44935235713.0ns,22,18,166743,44.1571,44.9352,33.2219,0,0,0
+48958539284.0ns,22,19,228465,48.1571,48.9585,33.1986,0,0,0
+52985235713.0ns,22,20,417897,52.1571,52.9852,33.1719,0,0,0
+56934735713.0ns,22,21,202940,56.1571,56.9347,33.2224,0,0,0
+60860074998.0ns,22,22,65400,60.1571,60.8601,33.297,0,0,0
+64907539284.0ns,22,23,112487,64.1571,64.9075,33.2496,0,0,0
+68884735713.0ns,22,24,73380,68.1571,68.8847,33.2724,0,0,0
