#time,nodeid,segNum,lastChunkSize,lastChunkStartTime,lastChunkFinishTime,bufferUpto,totalRebuffer,lastQuality,currentRebuffer
+2176914283.0ns,22,0,130550,1.42279,2.17691,4,0,0,0
+3006557141.0ns,22,1,349519,2.17691,3.00656,7.17036,0,0,0
+3906324998.0ns,22,2,718790,3.00656,3.90632,10.2706,0,2,0
+5120342855.0ns,22,3,1071812,3.90632,5.12034,13.0566,0,4,0
+6721999999.0ns,22,4,1551364,5.12034,6.722,15.4549,0,5,0
+7796999999.0ns,22,5,581276,6.722,7.797,18.3799,0,5,0
+9013999999.0ns,22,6,1077210,7.797,9.014,21.1629,0,5,0
+10754999999.0ns,22,7,2947651,9.014,10.755,23.4219,0,5,0
+12301999999.0ns,22,8,2231954,10.755,12.302,25.8749,0,5,0
+13775999999.0ns,22,9,1973821,12.302,13.776,28.4009,0,5,0
+14996999999.0ns,22,10,1110053,13.776,14.997,31.1799,0,5,0
+17428999999.0ns,22,11,1131566,16.1769,17.429,32.7479,0,5,0
+21309646426.0ns,22,12,1411867,20.1769,21.3096,32.8673,0,5,0
+25765999999.0ns,22,13,2342758,24.1769,25.766,32.4109,0,5,0
+29620999999.0ns,22,14,1849212,28.1769,29.621,32.5559,0,5,0
+33282999999.0ns,22,15,624663,32.1769,33.283,32.8939,0,5,0
+37354999999.0ns,22,16,869686,36.1769,37.355,32.8219,0,5,0
+41659999999.0ns,22,17,1991788,40.1769,41.66,32.5169,0,5,0
+45540999999.0ns,22,18,1529997,44.1769,45.541,32.6359,0,5,0
+49403503570.0ns,22,19,2096269,48.1769,49.4035,32.7734,0,5,0
+54321999999.0ns,22,20,4306089,52.1769,54.322,31.8549,0,5,0
+57653999999.0ns,22,21,1944846,56.1769,57.654,32.5229,0,5,0
+61254999999.0ns,22,22,572542,60.1769,61.255,32.9219,0,5,0
+65512999999.0ns,22,23,1479681,64.1769,65.513,32.6639,0,5,0
+69142610712.0ns,22,24,606006,68.1769,69.1426,33.0343,0,5,0
