#time,nodeid,segNum,lastChunkSize,lastChunkStartTime,lastChunkFinishTime,bufferUpto,totalRebuffer,lastQuality,currentRebuffer
+2275235713.0ns,22,0,693362,1.39974,2.27524,4,0,0,0
+4286735713.0ns,22,1,6557208,2.27524,4.28674,5.9885,0,0,0
+7207485713.0ns,22,2,11289891,4.28674,7.20749,7.06775,0,1,0
+9445503570.0ns,22,3,7674451,7.20749,9.4455,8.82973,0,2,0
+11481735713.0ns,22,4,6614866,9.4455,11.4817,10.7935,0,3,0
+13468235713.0ns,22,5,6433588,11.4817,13.4682,12.807,0,5,0
+17020003570.0ns,22,6,14532554,13.4682,17.02,13.2552,0,5,0
+25570735713.0ns,22,7,40325071,17.02,25.5707,8.7045,0,5,0
+28718235713.0ns,22,8,12351696,25.5707,28.7182,9.557,0,3,0
+32395985713.0ns,22,9,15127296,28.7182,32.396,9.87925,0,4,0
+34205485713.0ns,22,10,5481089,32.396,34.2055,12.0698,0,3,0
+36494985713.0ns,22,11,7984335,34.2055,36.495,13.7803,0,4,0
+39163235713.0ns,22,12,9986696,36.495,39.1632,15.112,0,4,0
+42841485713.0ns,22,13,15202916,39.1632,42.8415,15.4337,0,4,0
+45130003570.0ns,22,14,7934662,42.8415,45.13,17.1452,0,3,0
+46611503570.0ns,22,15,3828873,45.13,46.6115,19.6637,0,4,0
+48976735713.0ns,22,16,8410804,46.6115,48.9767,21.2985,0,4,0
+52503485713.0ns,22,17,14409047,48.9767,52.5035,21.7718,0,4,0
+55499735713.0ns,22,18,11643420,52.5035,55.4997,22.7755,0,4,0
+58268235713.0ns,22,19,10418492,55.4997,58.2682,24.007,0,3,0
+64774485713.0ns,22,20,29814655,58.2682,64.7745,21.5008,0,4,0
+69764735713.0ns,22,21,21880455,64.7745,69.7647,20.5105,0,5,0
+72078985713.0ns,22,22,8077547,69.7647,72.079,22.1962,0,5,0
+76035235713.0ns,22,23,16631506,72.079,76.0352,22.24,0,5,0
+78753235713.0ns,22,24,10156252,76.0352,78.7532,23.522,0,5,0
