#time,nodeid,segNum,lastChunkSize,lastChunkStartTime,lastChunkFinishTime,bufferUpto,totalRebuffer,lastQuality,currentRebuffer
+2279235713.0ns,22,0,693362,1.39974,2.27924,4,0,0,0
+4305235713.0ns,22,1,6557208,2.27924,4.30524,5.974,0,0,0
+6649985713.0ns,22,2,8181970,4.30524,6.64999,7.62925,0,0,0
+8199164283.0ns,22,3,4055664,6.64999,8.19916,10.0801,0,0,0
+9671735713.0ns,22,4,3609192,8.19916,9.67174,12.6075,0,0,0
+10576039284.0ns,22,5,789642,9.67174,10.576,15.7032,0,0,0
+11637057141.0ns,22,6,1641622,10.576,11.6371,18.6422,0,0,0
+13440735713.0ns,22,7,5338579,11.6371,13.4407,20.8385,0,0,0
+14958735713.0ns,22,8,3978935,13.4407,14.9587,23.3205,0,0,0
+16432824998.0ns,22,9,3325662,14.9587,16.4328,25.8464,0,0,0
+17594235713.0ns,22,10,2082483,16.4328,17.5942,28.685,0,0,0
+18755485713.0ns,22,11,2071202,17.5942,18.7555,31.5237,0,0,0
+21436485713.0ns,22,12,2091239,20.2792,21.4365,32.8428,0,0,0
+25687485713.0ns,22,13,3411598,24.2792,25.6875,32.5917,0,0,0
+29495503570.0ns,22,14,2367108,28.2792,29.4955,32.7837,0,0,0
