#,Time,rxSpeed,txSpeed,rxpacketsize,nodeId,velo_x,velo_y,pos_x,pos_y,IsLinkUp,Csgid,Earfcn,Imsi,rrcState,rrcState_str,rrcCellId,rrcDlBw,dist1,dist2,dist3,dist4,dist5,dist6,dist7,dist8,dist9,dist10
26,1.16,0,0,022,64.1296,33.3291,532.911,423.696,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,388.769,167.742,175.966,229.08,375.593,361.472,379.535,464.195,214.23,312.313
27,1.17,0,0,022,-95.8814,23.3825,532.882,423.988,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,388.484,167.704,176.114,228.793,375.807,361.269,379.72,463.996,214.51,312.257
28,1.18,470400,0,470422,30.4908,-76.1519,532.436,423.817,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,388.712,168.176,175.654,228.822,376.031,361.688,379.284,463.743,214.525,311.829
29,1.19,0,0,022,-15.6277,-50.62,532.655,423.104,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,389.39,168.127,175.41,229.568,375.398,362.089,378.935,464.349,213.782,312.112
30,1.2,0,0,022,-15.6277,-50.62,532.499,422.597,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,389.912,168.397,174.987,230.004,375.184,362.576,378.468,464.531,213.376,312.003
31,1.21,0,0,022,-39.0293,-51.0886,532.272,422.09,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,390.445,168.736,174.506,230.421,375.024,363.11,377.95,464.659,212.996,311.826
32,1.22,0,0,022,-39.0293,-51.0886,531.882,421.579,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,391.003,169.236,173.891,230.794,374.985,363.752,377.313,464.659,212.678,311.488
33,1.23,0,0,022,-14.1171,66.69,531.677,421.944,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,390.669,169.348,173.939,230.385,375.379,363.606,377.425,464.274,213.094,311.248
34,1.24,0,0,022,68.6396,-16.7629,531.765,422.38,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,390.225,169.16,174.266,229.994,375.597,363.217,377.794,464.079,213.461,311.294
35,1.25,0,0,022,68.6396,-16.7629,532.451,422.212,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,390.3,168.533,174.723,230.357,374.968,362.901,378.163,464.727,213.039,311.993
36,1.26,0,0,022,-92.5988,-0.91324,531.749,422.181,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,390.424,169.223,174.136,230.179,375.48,363.379,377.643,464.187,213.284,311.297
37,1.27,0,0,022,63.0469,-39.7034,532.039,421.869,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,390.695,169.015,174.188,230.563,375.056,363.429,377.629,464.608,212.883,311.616
38,1.28,0,0,022,-57.7656,-48.1108,532.139,421.435,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,391.112,169.022,174.016,231.007,374.697,363.696,377.394,464.95,212.445,311.757
39,1.29,0,0,022,-51.0643,55.3126,531.568,421.067,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,391.553,169.663,173.338,231.191,374.89,364.345,376.73,464.722,212.33,311.226
40,1.3,0,0,022,-51.0643,55.3126,531.058,421.62,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,391.074,170.026,173.248,230.513,375.637,364.254,376.757,463.98,213.039,310.664
41,1.31,0,0,022,28.1985,54.4992,531.166,422.167,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,390.517,169.792,173.657,230.022,375.911,363.767,377.22,463.733,213.499,310.718
42,1.32,0,0,022,13.3425,59.3828,531.426,422.719,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,389.935,169.411,174.192,229.57,376.075,363.179,377.793,463.604,213.905,310.924
43,1.33,0,0,022,13.3425,59.3828,531.559,423.313,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,389.329,169.144,174.65,229.043,376.363,362.64,378.307,463.35,214.399,311.002
44,1.34,0,0,022,21.5972,69.4508,531.734,423.958,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,388.666,168.827,175.173,228.479,376.653,362.036,378.887,463.099,214.925,311.117
45,1.35,0,0,022,51.748,17.7347,531.991,424.583,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,388.012,168.438,175.751,227.958,376.87,361.395,379.511,462.925,215.402,311.317
46,1.36,0,0,022,51.748,17.7347,532.508,424.761,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,387.767,167.895,176.271,227.944,376.597,360.924,380.002,463.231,215.367,311.816
47,1.37,0,0,022,-67.1451,22.3721,532.663,424.952,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,387.557,167.702,176.509,227.808,376.607,360.678,380.246,463.239,215.485,311.954
48,1.38,0,41600,022,-67.1451,22.3721,531.991,425.176,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,387.425,168.307,176.104,227.393,377.259,360.945,379.931,462.568,215.949,311.266
49,1.39,0,0,022,29.9457,57.2737,532.186,425.711,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,386.869,168,176.58,226.942,377.465,360.412,380.447,462.402,216.368,311.414
50,1.4,940800,41600,940822,82.9917,31.8423,532.668,426.196,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,386.324,167.426,177.256,226.625,377.422,359.73,381.131,462.495,216.632,311.854
51,1.41,0,0,022,-80.4154,50.3526,533.139,426.555,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,385.906,166.89,177.848,226.426,377.307,359.151,381.717,462.656,216.785,312.293
52,1.42,0,0,022,-50.8196,2.96879,532.384,426.98,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,385.585,167.538,177.5,225.792,378.154,359.321,381.487,461.797,217.464,311.507
53,1.43,1.4112e+06,41600,1411222,-50.8196,2.96879,531.876,427.01,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,385.624,168.028,177.114,225.611,378.555,359.631,381.151,461.373,217.685,310.998
54,1.44,0,0,022,-49.921,-35.0346,531.369,426.963,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,385.739,168.532,176.683,225.504,378.904,359.998,380.762,460.996,217.836,310.497
55,1.45,1.4112e+06,83200,1411222,-49.921,-35.0346,530.87,426.613,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,386.154,169.093,176.074,225.689,379.048,360.589,380.162,460.808,217.705,310.028
56,1.46,0,0,022,-43.0982,-51.4624,530.409,426.17,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,386.656,169.636,175.44,225.976,379.104,361.225,379.523,460.707,217.476,309.606
57,1.47,2.8224e+06,124800,2822422,-63.9934,-23.3498,529.963,425.676,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,387.208,170.176,174.787,226.318,379.116,361.891,378.858,460.65,217.195,309.203
58,1.48,0,0,022,-63.9934,-23.3498,529.323,425.442,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,387.529,170.85,174.137,226.355,379.446,362.487,378.243,460.282,217.232,308.586
59,1.49,0,0,022,28.4519,59.5126,529.242,425.709,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,387.276,170.873,174.234,226.076,379.682,362.338,378.376,460.056,217.51,308.482
60,1.5,4.2336e+06,166400,4233622,-19.47,59.8557,529.484,426.305,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,386.652,170.511,174.788,225.577,379.89,361.73,378.971,459.889,217.961,308.673
61,1.51,0,0,022,-19.47,59.8557,529.289,426.903,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,386.087,170.577,174.999,224.948,380.43,361.407,379.261,459.372,218.588,308.43
62,1.52,5.6448e+06,249600,5644822,-52.6756,-53.95,528.929,426.933,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,386.109,170.923,174.732,224.815,380.721,361.622,379.031,459.067,218.757,308.068
63,1.53,0,0,022,-38.6953,-37.322,528.426,426.423,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,386.686,171.52,174.023,225.159,380.766,362.337,378.315,458.975,218.487,307.609
64,1.54,0,0,022,-38.6953,-37.322,528.039,426.049,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,387.111,171.975,173.489,225.406,380.814,362.873,377.777,458.893,218.298,307.255
65,1.55,8.4672e+06,374400,8467222,-55.8799,8.76708,527.599,425.821,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,387.401,172.454,173.001,225.501,380.998,363.335,377.306,458.681,218.265,306.836
