#time,nodeid,segNum,lastChunkSize,lastChunkStartTime,lastChunkFinishTime,bufferUpto,totalRebuffer,lastQuality,currentRebuffer
+2152610712.0ns,22,0,130550,1.40002,2.15261,4,0,0,0
+2978521427.0ns,22,1,349519,2.15261,2.97852,7.17409,0,0,0
+3863110712.0ns,22,2,718790,2.97852,3.86311,10.2895,0,2,0
+4820574998.0ns,22,3,1071812,3.86311,4.82057,13.332,0,4,0
+5875985713.0ns,22,4,1551364,4.82057,5.87599,16.2766,0,5,0
+6734360712.0ns,22,5,581276,5.87599,6.73436,19.4183,0,5,0
+7692235713.0ns,22,6,1077210,6.73436,7.69224,22.4604,0,5,0
+9006342855.0ns,22,7,2947651,7.69224,9.00634,25.1463,0,5,0
+10190021427.0ns,22,8,2231954,9.00634,10.19,27.9626,0,5,0
+11323485713.0ns,22,9,1973821,10.19,11.3235,30.8291,0,5,0
+13113342855.0ns,22,10,1110053,12.1526,13.1133,33.0393,0,5,0
+17130664283.0ns,22,11,1131566,16.1526,17.1307,33.0219,0,5,0
+21182557141.0ns,22,12,1411867,20.1526,21.1826,32.9701,0,5,0
+25360557141.0ns,22,13,2342758,24.1526,25.3606,32.7921,0,5,0
+29261628569.0ns,22,14,1849212,28.1526,29.2616,32.891,0,5,0
+33030771427.0ns,22,15,624663,32.1526,33.0308,33.1218,0,5,0
+37080110712.0ns,22,16,869686,36.1526,37.0801,33.0725,0,5,0
+41287789284.0ns,22,17,1991788,40.1526,41.2878,32.8648,0,5,0
+45206878569.0ns,22,18,1529997,44.1526,45.2069,32.9457,0,5,0
+49311110712.0ns,22,19,2096269,48.1526,49.3111,32.8415,0,5,0
+53739664283.0ns,22,20,4306089,52.1526,53.7397,32.4129,0,5,0
+57284342855.0ns,22,21,1944846,56.1526,57.2843,32.8683,0,5,0
+61011253570.0ns,22,22,572542,60.1526,61.0113,33.1414,0,5,0
+65187521427.0ns,22,23,1479681,64.1526,65.1875,32.9651,0,5,0
+69029485713.0ns,22,24,606006,68.1526,69.0295,33.1231,0,5,0
