#time,nodeid,segNum,lastChunkSize,lastChunkStartTime,lastChunkFinishTime,bufferUpto,totalRebuffer,lastQuality,currentRebuffer
+2151235713.0ns,22,0,130550,1.39975,2.15124,4,0,0,0
+2980485713.0ns,22,1,349519,2.15124,2.98049,7.17075,0,0,0
+3789574998.0ns,22,2,299613,2.98049,3.78957,10.3617,0,0,0
+4569985713.0ns,22,3,220993,3.78957,4.56999,13.5813,0,0,0
+5348735713.0ns,22,4,219634,4.56999,5.34874,16.8025,0,0,0
+6074235713.0ns,22,5,81114,5.34874,6.07424,20.077,0,0,0
+6826235713.0ns,22,6,139234,6.07424,6.82624,23.325,0,0,0
+7632235713.0ns,22,7,308066,6.82624,7.63224,26.519,0,0,0
+8433485713.0ns,22,8,234912,7.63224,8.43349,29.7177,0,0,0
+9212485713.0ns,22,9,210170,8.43349,9.21249,32.9387,0,0,0
+12928235713.0ns,22,10,177609,12.1512,12.9282,33.223,0,0,0
+16930485713.0ns,22,11,155318,16.1512,16.9305,33.2208,0,0,0
+20930735713.0ns,22,12,158447,20.1512,20.9307,33.2205,0,0,0
+24953985713.0ns,22,13,256551,24.1512,24.954,33.1972,0,0,0
+28927753570.0ns,22,14,151129,28.1512,28.9278,33.2235,0,0,0
+32876235713.0ns,22,15,78576,32.1512,32.8762,33.275,0,0,0
+36879039284.0ns,22,16,98400,36.1512,36.879,33.2722,0,0,0
+40927485713.0ns,22,17,214461,40.1512,40.9275,33.2238,0,0,0
+44927753570.0ns,22,18,166743,44.1512,44.9278,33.2235,0,0,0
+48953539284.0ns,22,19,228465,48.1512,48.9535,33.1977,0,0,0
+52981432140.0ns,22,20,417897,52.1512,52.9814,33.1698,0,0,0
+56930235713.0ns,22,21,202940,56.1512,56.9302,33.221,0,0,0
+60851503570.0ns,22,22,65400,60.1512,60.8515,33.2997,0,0,0
+64906003570.0ns,22,23,112487,64.1512,64.906,33.2452,0,0,0
+68876235713.0ns,22,24,73380,68.1512,68.8762,33.275,0,0,0
