#time,nodeid,segNum,lastChunkSize,lastChunkStartTime,lastChunkFinishTime,bufferUpto,totalRebuffer,lastQuality,currentRebuffer
+2250485713.0ns,11,0,480837,1.39974,2.25049,16,0,0,0
+3100985713.0ns,11,1,521374,2.25049,3.10099,31.1495,0,0,0
+5051235713.0ns,11,2,301516,4.25049,5.05124,45.1992,0,0,0
+21076735713.0ns,11,3,448068,20.2505,21.0767,45.1737,0,0,0
+37076735713.0ns,11,4,445850,36.2505,37.0767,45.1737,0,0,0
+53051485713.0ns,11,5,333695,52.2505,53.0515,45.199,0,0,0
+69076235713.0ns,11,6,415766,68.2505,69.0762,45.1743,0,0,0
