#time,nodeid,segNum,lastChunkSize,lastChunkStartTime,lastChunkFinishTime,bufferUpto,totalRebuffer,lastQuality,currentRebuffer
+2167999999.0ns,22,0,130550,1.40057,2.168,4,0,0,0
+6011503570.0ns,22,1,6667126,2.168,6.0115,4.1565,0,5,0
+7396735713.0ns,22,2,3211901,6.0115,7.39674,6.77126,0,5,0
+8286360712.0ns,22,3,1639262,7.39674,8.28636,9.88164,0,5,0
+9348253570.0ns,22,4,1551364,8.28636,9.34825,12.8197,0,5,0
+10215860712.0ns,22,5,581276,9.34825,10.2159,15.9521,0,5,0
+11176342855.0ns,22,6,1077210,10.2159,11.1763,18.9917,0,5,0
+12496503570.0ns,22,7,2947651,11.1763,12.4965,21.6715,0,5,0
+13689664283.0ns,22,8,2231954,12.4965,13.6897,24.4783,0,5,0
+14833878569.0ns,22,9,1973821,13.6897,14.8339,27.3341,0,5,0
+15801307141.0ns,22,10,1110053,14.8339,15.8013,30.3667,0,5,0
+17152521427.0ns,22,11,1131566,16.168,17.1525,33.0155,0,5,0
+21199539284.0ns,22,12,1411867,20.168,21.1995,32.9685,0,5,0
+25379092855.0ns,22,13,2342758,24.168,25.3791,32.7889,0,5,0
+29284235713.0ns,22,14,1849212,28.168,29.2842,32.8838,0,5,0
+33048235713.0ns,22,15,624663,32.168,33.0482,33.1198,0,5,0
+37097110712.0ns,22,16,869686,36.168,37.0971,33.0709,0,5,0
+41299985713.0ns,22,17,1991788,40.168,41.3,32.868,0,5,0
+45223735713.0ns,22,18,1529997,44.168,45.2237,32.9443,0,5,0
+49330521427.0ns,22,19,2096269,48.168,49.3305,32.8375,0,5,0
+53760824998.0ns,22,20,4306089,52.168,53.7608,32.4072,0,5,0
+57303842855.0ns,22,21,1944846,56.168,57.3038,32.8642,0,5,0
+61029789284.0ns,22,22,572542,60.168,61.0298,33.1382,0,5,0
+65209307141.0ns,22,23,1479681,64.168,65.2093,32.9587,0,5,0
+69047610712.0ns,22,24,606006,68.168,69.0476,33.1204,0,5,0
